Scheme Name,Plan,Category Name,Crisil Rank,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
Motilal Oswal Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,2,8108.78,1%,3%,11%,22%,23%,19%,8%,15%,12%,
Motilal Oswal Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,2,8108.78,1%,3%,11%,22%,22%,18%,7%,14%,11%,
HSBC Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,3,8007.73,2%,4%,11%,27%,29%,30%,12%,25%,17%,22%
HSBC Mid Cap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,3,8007.73,2%,4%,11%,26%,28%,28%,11%,23%,15%,21%
Canara Robeco Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,2,7862.59,2%,2%,9%,22%,25%,26%,16%,38%,,
Canara Robeco Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,2,7862.59,2%,2%,8%,21%,23%,24%,15%,36%,,
Franklin India Bluechip Fund - Direct - Growth,Direct Plan,Large Cap Fund,2,6665.66,1%,1%,2%,9%,12%,10%,3%,17%,13%,13%
Franklin India Bluechip Fund - Growth,Regular,Large Cap Fund,2,6665.66,1%,1%,2%,9%,11%,9%,2%,16%,12%,13%
Kotak Bluechip Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,3,6405.55,1%,0%,3%,10%,13%,12%,6%,18%,16%,16%
Kotak Bluechip Fund - Growth,Regular,Large Cap Fund,3,6405.55,1%,0%,2%,9%,12%,10%,4%,17%,15%,14%
Tata Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,4,6146.73,2%,1%,8%,22%,27%,31%,18%,40%,27%,
Tata Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,4,6146.73,2%,1%,8%,21%,26%,29%,16%,37%,25%,
Motilal Oswal Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,6059.92,1%,3%,10%,25%,31%,29%,20%,37%,24%,
Motilal Oswal Midcap Fund - Growth,Regular,Mid Cap Fund,5,6059.92,1%,3%,10%,24%,29%,28%,19%,35%,23%,
